date,weekday,UB1_Comdty_PX-LAST,UB1_Comdty_CURRENCY-EUR,UB1_Comdty_PX-LAST-CHF,imputed,UB1_Comdty_start
2004-01-01,Thursday,,1.5611,133.12727950000001,imputed from 1825,
2004-01-02,Friday,84.86,1.55965,132.351899,,start
2004-01-03,Saturday,,,132.351899,imputed from 1827,
2004-01-04,Sunday,,,132.351899,imputed from 1828,
2004-01-05,Monday,84.92,1.56165,132.615318,,
2004-01-06,Tuesday,85.63,1.56745,134.2207435,,
2004-01-07,Wednesday,85.59,1.5671,134.128089,,
2004-01-08,Thursday,85.68,1.56525,134.11062,,
2004-01-09,Friday,86.35,1.5669,135.30181499999998,,start
2004-01-10,Saturday,,,135.30181499999998,imputed from 1834,
2004-01-11,Sunday,,,135.30181499999998,imputed from 1835,
2004-01-12,Monday,86.53,1.56535,135.4497355,,
2004-01-13,Tuesday,86.36,1.5597,134.695692,,
2004-01-14,Wednesday,86.24,1.55915,134.461096,,
2004-01-15,Thursday,86.3,1.56695,135.227785,,
2004-01-16,Friday,86.04,1.5679,134.902116,,start
2004-01-17,Saturday,,,134.902116,imputed from 1841,
2004-01-18,Sunday,,,134.902116,imputed from 1842,
2004-01-19,Monday,85.92,1.5694,134.842848,,
2004-01-20,Tuesday,86.19,1.5689,135.223491,,
2004-01-21,Wednesday,86.07,1.56785,134.94484949999998,,
2004-01-22,Thursday,86.33,1.56785,135.3524905,,
2004-01-23,Friday,86.83,1.5636,135.767388,,start
2004-01-24,Saturday,,,135.767388,imputed from 1848,
2004-01-25,Sunday,,,135.767388,imputed from 1849,
2004-01-26,Monday,86.01,1.56705,134.7819705,,
2004-01-27,Tuesday,86.16,1.56725,135.03426,,
2004-01-28,Wednesday,86.33,1.56685,135.2661605,,
2004-01-29,Thursday,85.12,1.56255,133.00425600000003,,
2004-01-30,Friday,85.68,1.5677,134.32053600000003,,start
2004-01-31,Saturday,,,134.32053600000003,imputed from 1855,
2004-02-01,Sunday,,,134.32053600000003,imputed from 1856,
2004-02-02,Monday,85.75,1.5676,134.42170000000002,,
2004-02-03,Tuesday,85.98,1.56685,134.71776300000002,,
2004-02-04,Wednesday,86.07,1.56805,134.96206349999997,,
2004-02-05,Thursday,86.23,1.5688,135.277624,,
2004-02-06,Friday,86.6,1.5676,135.75416,,start
2004-02-07,Saturday,,,135.75416,imputed from 1862,
2004-02-08,Sunday,,,135.75416,imputed from 1863,
2004-02-09,Monday,86.62,1.5683,135.846146,,
2004-02-10,Tuesday,86.54,1.56955,135.828857,,
2004-02-11,Wednesday,86.89,1.5779,137.103731,,
2004-02-12,Thursday,86.69,1.57665,136.6797885,,
2004-02-13,Friday,86.98,1.5777,137.22834600000002,,start
2004-02-14,Saturday,,,137.22834600000002,imputed from 1869,
2004-02-15,Sunday,,,137.22834600000002,imputed from 1870,
2004-02-16,Monday,86.9,1.5756,136.91964,,
2004-02-17,Tuesday,87.15,1.5753,137.287395,,
2004-02-18,Wednesday,86.88,1.57535,136.866408,,
2004-02-19,Thursday,86.28,1.5757,135.95139600000002,,
2004-02-20,Friday,86.3,1.57835,136.211605,,start
2004-02-21,Saturday,,,136.211605,imputed from 1876,
2004-02-22,Sunday,,,136.211605,imputed from 1877,
2004-02-23,Monday,86.38,1.5783,136.333554,,
2004-02-24,Tuesday,86.83,1.5746,136.722518,,
2004-02-25,Wednesday,86.74,1.57395,136.52442299999998,,
2004-02-26,Thursday,86.75,1.576,136.71800000000002,,
2004-02-27,Friday,87.21,1.5767,137.504007,,start
2004-02-28,Saturday,,,137.504007,imputed from 1883,
2004-02-29,Sunday,,,137.504007,imputed from 1884,
2004-03-01,Monday,87.25,1.57815,137.6935875,,
2004-03-02,Tuesday,87.14,1.58325,137.964405,,
