date,weekday,UGL1_Comdty_PX-LAST,UGL1_Comdty_CURRENCY-GBP,UGL1_Comdty_PX-LAST-CHF,imputed,UGL1_Comdty_start
2022-04-03,Sunday,,,189.43246499999998,imputed from 3049,
2022-04-04,Monday,157.83,1.2149,191.74766700000004,,
2022-04-05,Tuesday,154.93,1.2151,188.255443,,
2022-04-06,Wednesday,153.21,1.2197,186.870237,,
2022-04-07,Thursday,152.07,1.2212,185.707884,,
2022-04-08,Friday,150.86,1.2173,183.64187800000002,,start
2022-04-09,Saturday,,,183.64187800000002,imputed from 3055,
2022-04-10,Sunday,,,183.64187800000002,imputed from 3056,
2022-04-11,Monday,148.46,1.2131,180.09682600000002,,
2022-04-12,Tuesday,149.46,1.2127,181.25014199999998,,
2022-04-13,Wednesday,149.22,1.2254,182.854188,,
2022-04-14,Thursday,148.06,1.2325,182.48395,,
2022-04-15,Friday,148.06,1.2319,182.395114,imputed from 3061,start
2022-04-16,Saturday,,,182.395114,imputed from 3062,
2022-04-17,Sunday,,,182.395114,imputed from 3063,
2022-04-18,Monday,148.06,1.2294,182.024964,,
2022-04-19,Tuesday,143.82,1.2378,178.020396,,
2022-04-20,Wednesday,145.99,1.2395,180.95460500000002,,
2022-04-21,Thursday,145.46,1.2421,180.675866,,
2022-04-22,Friday,146.84,1.2288,180.43699199999998,,start
2022-04-23,Saturday,,,180.43699199999998,imputed from 3069,
2022-04-24,Sunday,,,180.43699199999998,imputed from 3070,
2022-04-25,Monday,149.07,1.2223,182.208261,,
2022-04-26,Tuesday,151.18,1.2105,183.00339,,
2022-04-27,Wednesday,149.86,1.2157,182.18480200000002,,
2022-04-28,Thursday,148.06,1.2109,179.28585400000003,,
2022-04-29,Friday,146.9,1.2233,179.70277000000002,,start
2022-04-30,Saturday,,,179.70277000000002,imputed from 3076,
2022-05-01,Sunday,,,179.70277000000002,imputed from 3077,
2022-05-02,Monday,146.9,1.2217,179.46773000000002,,
2022-05-03,Tuesday,145.63,1.2233,178.149179,,
2022-05-04,Wednesday,145.3,1.2282,178.45746,,
