date,weekday,RX1_Comdty_PX-LAST-CHF,imputed,RX1_Comdty_start
2005-12-10,Saturday,132.78858,imputed from 3038,
2005-12-11,Sunday,132.78858,imputed from 3039,
2005-12-12,Monday,133.2303,,
2005-12-13,Tuesday,133.61941,,
2005-12-14,Wednesday,133.51338,,
2005-12-15,Thursday,133.82102,,
2005-12-16,Friday,134.58281,,start
2005-12-17,Saturday,134.58281,imputed from 3045,
2005-12-18,Sunday,134.58281,imputed from 3046,
2005-12-19,Monday,134.91718,,
2005-12-20,Tuesday,134.92054,,
2005-12-21,Wednesday,134.62759,,
2005-12-22,Thursday,135.01912,,
2005-12-23,Friday,135.62587,,start
2005-12-24,Saturday,135.62587,imputed from 3052,
2005-12-25,Sunday,135.62587,imputed from 3053,
2005-12-26,Monday,135.62587,imputed from 3054,
2005-12-27,Tuesday,135.54588,,
2005-12-28,Wednesday,135.95318,,
2005-12-29,Thursday,135.53259,,
2005-12-30,Friday,135.62746,,start
2005-12-31,Saturday,135.62746,imputed from 3059,
2006-01-01,Sunday,135.62746,imputed from 3060,
2006-01-02,Monday,135.06267,,
2006-01-03,Tuesday,134.84528,,
2006-01-04,Wednesday,135.21961,,
2006-01-05,Thursday,135.06721,,
2006-01-06,Friday,134.93286,,start
2006-01-07,Saturday,134.93286,imputed from 3066,
2006-01-08,Sunday,134.93286,imputed from 3067,
2006-01-09,Monday,135.00032,,
2006-01-10,Tuesday,134.92435,,
2006-01-11,Wednesday,134.68219,,
2006-01-12,Thursday,135.34164,,
2006-01-13,Friday,135.49449,,start
2006-01-14,Saturday,135.49449,imputed from 3073,
2006-01-15,Sunday,135.49449,imputed from 3074,
2006-01-16,Monday,135.52275,,
2006-01-17,Tuesday,135.60921,,
2006-01-18,Wednesday,135.55772,,
2006-01-19,Thursday,135.01052,,
2006-01-20,Friday,134.60988,,start
2006-01-21,Saturday,134.60988,imputed from 3080,
2006-01-22,Sunday,134.60988,imputed from 3081,
2006-01-23,Monday,134.11632,,
2006-01-24,Tuesday,134.21583,,
2006-01-25,Wednesday,133.76048,,
2006-01-26,Thursday,133.44712,,
2006-01-27,Friday,133.53058,,start
2006-01-28,Saturday,133.53058,imputed from 3087,
2006-01-29,Sunday,133.53058,imputed from 3088,
2006-01-30,Monday,133.93397,,
2006-01-31,Tuesday,133.77839,,
2006-02-01,Wednesday,133.34723,,
2006-02-02,Thursday,133.37952,,
2006-02-03,Friday,133.87884,,start
2006-02-04,Saturday,133.87884,imputed from 3094,
2006-02-05,Sunday,133.87884,imputed from 3095,
2006-02-06,Monday,134.01191,,
2006-02-07,Tuesday,133.40323,,
2006-02-08,Wednesday,133.6998,,
2006-02-09,Thursday,134.07392,,
2006-02-10,Friday,134.13988,,start
2006-02-11,Saturday,134.13988,imputed from 3101,
