date,weekday,NG1_Comdty_PX-LAST-CHF,imputed,NG1_Comdty_start
1998-04-30,Thursday,1995.28093,,
1998-05-01,Friday,1960.95737,,start
1998-05-02,Saturday,1960.95737,imputed from 259,
1998-05-03,Sunday,1960.95737,imputed from 260,
1998-05-04,Monday,2010.8818,,
1998-05-05,Tuesday,1967.89711,,
1998-05-06,Wednesday,1882.64642,,
1998-05-07,Thursday,1900.19369,,
1998-05-08,Friday,1918.77092,,start
1998-05-09,Saturday,1918.77092,imputed from 266,
1998-05-10,Sunday,1918.77092,imputed from 267,
1998-05-11,Monday,1969.48701,,
1998-05-12,Tuesday,1996.49645,,
1998-05-13,Wednesday,1951.92808,,
1998-05-14,Thursday,1949.30672,,
1998-05-15,Friday,1937.89092,,start
1998-05-16,Saturday,1937.89092,imputed from 273,
1998-05-17,Sunday,1937.89092,imputed from 274,
1998-05-18,Monday,1898.35866,,
1998-05-19,Tuesday,1907.07475,,
1998-05-20,Wednesday,1915.35222,,
1998-05-21,Thursday,1810.07275,,
1998-05-22,Friday,1833.46615,,start
1998-05-23,Saturday,1833.46615,imputed from 280,
1998-05-24,Sunday,1833.46615,imputed from 281,
1998-05-25,Monday,1833.46615,imputed from 282,
1998-05-26,Tuesday,1844.61746,,
1998-05-27,Wednesday,1782.27408,,
1998-05-28,Thursday,1809.44306,,
1998-05-29,Friday,1903.25811,,start
1998-05-30,Saturday,1903.25811,imputed from 287,
1998-05-31,Sunday,1903.25811,imputed from 288,
1998-06-01,Monday,1913.38024,,
1998-06-02,Tuesday,1887.53485,,
1998-06-03,Wednesday,1838.27829,,
1998-06-04,Thursday,1751.85693,,
1998-06-05,Friday,1770.52033,,start
1998-06-06,Saturday,1770.52033,imputed from 294,
1998-06-07,Sunday,1770.52033,imputed from 295,
1998-06-08,Monday,1727.4933,,
1998-06-09,Tuesday,1693.01097,,
1998-06-10,Wednesday,1698.69742,,
1998-06-11,Thursday,1740.54734,,
1998-06-12,Friday,1800.86624,,start
1998-06-13,Saturday,1800.86624,imputed from 301,
1998-06-14,Sunday,1800.86624,imputed from 302,
1998-06-15,Monday,1875.53408,,
1998-06-16,Tuesday,1763.57145,,
1998-06-17,Wednesday,1917.57108,,
1998-06-18,Thursday,1899.60875,,
1998-06-19,Friday,2018.24495,,start
1998-06-20,Saturday,2018.24495,imputed from 308,
1998-06-21,Sunday,2018.24495,imputed from 309,
1998-06-22,Monday,2093.87726,,
1998-06-23,Tuesday,2129.77088,,
1998-06-24,Wednesday,2082.85309,,
1998-06-25,Thursday,2115.51157,,
1998-06-26,Friday,2131.3483,,start
1998-06-27,Saturday,2131.3483,imputed from 315,
1998-06-28,Sunday,2131.3483,imputed from 316,
1998-06-29,Monday,2100.47793,,
1998-06-30,Tuesday,2154.75192,,
1998-07-01,Wednesday,2156.22691,,
1998-07-02,Thursday,2152.86546,,
1998-07-03,Friday,2152.86546,imputed from 321,start
1998-07-04,Saturday,2152.86546,imputed from 322,
1998-07-05,Sunday,2152.86546,imputed from 323,
1998-07-06,Monday,2077.47,,
1998-07-07,Tuesday,2077.60617,,
1998-07-08,Wednesday,2081.61798,,
1998-07-09,Thursday,2085.73193,,
1998-07-10,Friday,2047.42305,,start
1998-07-11,Saturday,2047.42305,imputed from 329,
1998-07-12,Sunday,2047.42305,imputed from 330,
1998-07-13,Monday,1963.78892,,
1998-07-14,Tuesday,1982.2863,,
1998-07-15,Wednesday,1944.21787,,
1998-07-16,Thursday,1848.24586,,
1998-07-17,Friday,1876.10584,,start
1998-07-18,Saturday,1876.10584,imputed from 336,
1998-07-19,Sunday,1876.10584,imputed from 337,
1998-07-20,Monday,1816.29092,,
1998-07-21,Tuesday,1699.08689,,
1998-07-22,Wednesday,1682.27749,,
1998-07-23,Thursday,1691.42688,,
1998-07-24,Friday,1746.53819,,start
1998-07-25,Saturday,1746.53819,imputed from 343,
1998-07-26,Sunday,1746.53819,imputed from 344,
1998-07-27,Monday,1696.00498,,
1998-07-28,Tuesday,1672.98323,,
1998-07-29,Wednesday,1669.00849,,
1998-07-30,Thursday,1649.01719,,
1998-07-31,Friday,1598.05425,,start
1998-08-01,Saturday,1598.05425,imputed from 350,
1998-08-02,Sunday,1598.05425,imputed from 351,
1998-08-03,Monday,1631.55292,,
1998-08-04,Tuesday,1641.15136,,
1998-08-05,Wednesday,1620.9017,,
1998-08-06,Thursday,1586.25638,,
1998-08-07,Friday,1594.3772,,start
1998-08-08,Saturday,1594.3772,imputed from 357,
1998-08-09,Sunday,1594.3772,imputed from 358,
1998-08-10,Monday,1646.9851,,
1998-08-11,Tuesday,1567.7963,,
1998-08-12,Wednesday,1565.18911,,
1998-08-13,Thursday,1571.17259,,
1998-08-14,Friday,1646.49538,,start
1998-08-15,Saturday,1646.49538,imputed from 364,
1998-08-16,Sunday,1646.49538,imputed from 365,
1998-08-17,Monday,1783.00524,,
1998-08-18,Tuesday,1739.82362,,
1998-08-19,Wednesday,1675.23634,,
1998-08-20,Thursday,1703.29299,,
1998-08-21,Friday,1698.28632,,start
1998-08-22,Saturday,1698.28632,imputed from 371,
1998-08-23,Sunday,1698.28632,imputed from 372,
1998-08-24,Monday,1677.50774,,
1998-08-25,Tuesday,1596.92973,,
1998-08-26,Wednesday,1539.27253,,
1998-08-27,Thursday,1456.9961,,
1998-08-28,Friday,1375.54941,,start
1998-08-29,Saturday,1375.54941,imputed from 378,
1998-08-30,Sunday,1375.54941,imputed from 379,
1998-08-31,Monday,1445.99084,,
1998-09-01,Tuesday,1466.49568,,
1998-09-02,Wednesday,1366.29077,,
1998-09-03,Thursday,1390.95311,,
1998-09-04,Friday,1449.65812,,start
1998-09-05,Saturday,1449.65812,imputed from 385,
1998-09-06,Sunday,1449.65812,imputed from 386,
1998-09-07,Monday,1449.65812,imputed from 387,
1998-09-08,Tuesday,1514.64472,,
1998-09-09,Wednesday,1479.82995,,
1998-09-10,Thursday,1549.39957,,
1998-09-11,Friday,1491.78514,,start
1998-09-12,Saturday,1491.78514,imputed from 392,
1998-09-13,Sunday,1491.78514,imputed from 393,
1998-09-14,Monday,1557.46168,,
1998-09-15,Tuesday,1692.10543,,
1998-09-16,Wednesday,1788.7182,,
1998-09-17,Thursday,1693.91483,,
1998-09-18,Friday,1792.64163,,start
1998-09-19,Saturday,1792.64163,imputed from 399,
1998-09-20,Sunday,1792.64163,imputed from 400,
1998-09-21,Monday,1729.98604,,
1998-09-22,Tuesday,1735.19438,,
1998-09-23,Wednesday,1703.35541,,
1998-09-24,Thursday,1725.65118,,
1998-09-25,Friday,1727.73387,,start
1998-09-26,Saturday,1727.73387,imputed from 406,
1998-09-27,Sunday,1727.73387,imputed from 407,
1998-09-28,Monday,1664.5273,,
1998-09-29,Tuesday,1700.36943,,
1998-09-30,Wednesday,1751.64031,,
1998-10-01,Thursday,1717.19632,,
1998-10-02,Friday,1717.32196,,start
1998-10-03,Saturday,1717.32196,imputed from 413,
1998-10-04,Sunday,1717.32196,imputed from 414,
1998-10-05,Monday,1673.6895,,
1998-10-06,Tuesday,1640.08338,,
1998-10-07,Wednesday,1640.87939,,
1998-10-08,Thursday,1519.36312,,
1998-10-09,Friday,1513.7903,,start
1998-10-10,Saturday,1513.7903,imputed from 420,
1998-10-11,Sunday,1513.7903,imputed from 421,
1998-10-12,Monday,1461.5043,,
1998-10-13,Tuesday,1443.33923,,
1998-10-14,Wednesday,1418.87837,,
1998-10-15,Thursday,1444.40456,,
1998-10-16,Friday,1442.84225,,start
1998-10-17,Saturday,1442.84225,imputed from 427,
1998-10-18,Sunday,1442.84225,imputed from 428,
1998-10-19,Monday,1478.61552,,
1998-10-20,Tuesday,1545.38269,,
1998-10-21,Wednesday,1530.51114,,
1998-10-22,Thursday,1523.16525,,
1998-10-23,Friday,1511.38099,,start
1998-10-24,Saturday,1511.38099,imputed from 434,
1998-10-25,Sunday,1511.38099,imputed from 435,
1998-10-26,Monday,1622.46017,,
1998-10-27,Tuesday,1487.43504,,
1998-10-28,Wednesday,1451.70224,,
1998-10-29,Thursday,1466.80283,,
1998-10-30,Friday,1428.26438,,start
1998-10-31,Saturday,1428.26438,imputed from 441,
1998-11-01,Sunday,1428.26438,imputed from 442,
1998-11-02,Monday,1495.59173,,
1998-11-03,Tuesday,1529.11574,,
1998-11-04,Wednesday,1517.47738,,
1998-11-05,Thursday,1612.85329,,
1998-11-06,Friday,1631.78628,,start
1998-11-07,Saturday,1631.78628,imputed from 448,
1998-11-08,Sunday,1631.78628,imputed from 449,
1998-11-09,Monday,1582.34444,,
1998-11-10,Tuesday,1595.33445,,
1998-11-11,Wednesday,1560.64716,,
1998-11-12,Thursday,1538.7032,,
