date,weekday,OE1_Comdty_PX-LAST-CHF,imputed,OE1_Comdty_start
1998-09-08,Tuesday,79.14515,,
1998-09-09,Wednesday,79.60191,,
1998-09-10,Thursday,80.07341,,
1998-09-11,Friday,79.85976,,start
1998-09-12,Saturday,79.85976,imputed from 392,
1998-09-13,Sunday,79.85976,imputed from 393,
1998-09-14,Monday,79.64612,,
1998-09-15,Tuesday,79.66822,,
1998-09-16,Wednesday,79.4472,,
1998-09-17,Thursday,79.57244,,
1998-09-18,Friday,79.49877,,start
1998-09-19,Saturday,79.49877,imputed from 399,
1998-09-20,Sunday,79.49877,imputed from 400,
1998-09-21,Monday,79.61665,,
1998-09-22,Tuesday,79.56508,,
1998-09-23,Wednesday,79.54298,,
1998-09-24,Thursday,79.60191,,
1998-09-25,Friday,79.71979,,start
1998-09-26,Saturday,79.71979,imputed from 406,
1998-09-27,Sunday,79.71979,imputed from 407,
1998-09-28,Monday,79.74926,,
1998-09-29,Tuesday,79.71979,,
1998-09-30,Wednesday,79.985,,
1998-10-01,Thursday,80.04394,,
1998-10-02,Friday,80.12498,,start
1998-10-03,Saturday,80.12498,imputed from 413,
1998-10-04,Sunday,80.12498,imputed from 414,
1998-10-05,Monday,80.25022,,
1998-10-06,Tuesday,80.11025,,
1998-10-07,Wednesday,79.8745,,
1998-10-08,Thursday,79.50614,,
1998-10-09,Friday,79.41037,,start
1998-10-10,Saturday,79.41037,imputed from 420,
1998-10-11,Sunday,79.41037,imputed from 421,
1998-10-12,Monday,79.18935,,
1998-10-13,Tuesday,79.3588,,
1998-10-14,Wednesday,79.52824,,
1998-10-15,Thursday,79.41773,,
1998-10-16,Friday,79.8966,,start
1998-10-17,Saturday,79.8966,imputed from 427,
1998-10-18,Sunday,79.8966,imputed from 428,
1998-10-19,Monday,79.78609,,
1998-10-20,Tuesday,79.52087,,
1998-10-21,Wednesday,79.66085,,
1998-10-22,Thursday,79.55771,,
1998-10-23,Friday,79.57981,,start
1998-10-24,Saturday,79.57981,imputed from 434,
1998-10-25,Sunday,79.57981,imputed from 435,
1998-10-26,Monday,79.55771,,
1998-10-27,Tuesday,79.60191,,
1998-10-28,Wednesday,79.56508,,
1998-10-29,Thursday,79.61665,,
1998-10-30,Friday,79.52824,,start
1998-10-31,Saturday,79.52824,imputed from 441,
1998-11-01,Sunday,79.52824,imputed from 442,
1998-11-02,Monday,79.3809,,
1998-11-03,Tuesday,79.62401,,
1998-11-04,Wednesday,79.47667,,
1998-11-05,Thursday,79.4472,,
1998-11-06,Friday,79.17462,,start
1998-11-07,Saturday,79.17462,imputed from 448,
1998-11-08,Sunday,79.17462,imputed from 449,
1998-11-09,Monday,79.41037,,
1998-11-10,Tuesday,79.37353,,
1998-11-11,Wednesday,79.3588,,
1998-11-12,Thursday,79.37353,,
1998-11-13,Friday,79.27776,,start
1998-11-14,Saturday,79.27776,imputed from 455,
1998-11-15,Sunday,79.27776,imputed from 456,
1998-11-16,Monday,79.31459,,
1998-11-17,Tuesday,79.403,,
1998-11-18,Wednesday,79.57981,,
